Chromosome	Start	Stop	Strand	Gene Symbol	AKO5	AKO6	AKO7	AKO8	Ako_Lx1	Ako_Lx2	Ako_Lx3	WT6	wt_Lx1	WT7	WT5	Ako_Lx4	wt_Lx3	WT8	wt_Lx2	wt_Lx4
11	113043906	113201839	-	2610035D17Rik	115	75	121	57	39	39	79	90	97	92	70	59	97	95	58	108
8	129216354	129234047	-	2610044O15Rik8	136	113	106	94	95	109	93	108	98	120	163	102	99	81	129	128
4	10874498	10899424	+	2610301B20Rik	122	101	135	114	120	138	131	104	130	129	123	116	198	115	137	180
6	86848407	86849441	-	2610306M01Rik	93	88	81	75	103	105	69	76	88	79	61	98	88	94	87	106
11	78261754	78290626	+	2610507B11Rik	6223	6147	4584	5298	6980	6842	6057	5150	5675	4396	4754	6254	5457	5510	5552	5983
11	59197793	59202432	-	2610507I01Rik	316	325	233	283	299	301	270	284	312	303	309	263	260	357	294	384
19	32389216	32391185	+	2700046G09Rik	25	26	36	21	27	30	32	33	33	25	37	35	52	46	29	22
12	71136848	71243304	+	2700049A03Rik	49	55	50	73	76	98	74	39	97	49	42	84	99	61	74	96.9999
18	24470871	24477768	+	2700062C07Rik	28	39	48	36	33	60	32	33	47	26	34	55	67	27	45	42
19	7417625	7425905	+	2700081O15Rik	619	521	381	465	462	488	609	505	807	442	394	563	757	577	558	823
12	55045661	55080111	-	2700097O09Rik	109	98	89	75	64	59	94	64	42	74	42	64	72	81	70	70
11	64079484	64083260	+	2810001G20Rik	98	93	76	73	114	81	89	79	80	59	87	64	59	81	77	85
2	94406707	94411681	+	2810002D19Rik	60	55	48	44	51	59	52	76	54	81	56	27	84	73	66	59
8	124839355	124863030	-	2810004N23Rik	576	594	498	504	696	678	502	492	469	503	511	515	483	628	544	525
5	124328089	124341853	+	2810006K23Rik	172	247	167	207	196	188	219	184	214	216	214	211	214	225	202	246
8	123042575	123044603	+	2810013P06Rik	206	124	197	157	171	181	180	139	183	180	167	192	198	165	223	199
11	58867240	58884339	+	2810021J22Rik	55	41	38	21	33	33	53	30	41	29	46	45	36	31	54	63
1	157412352	157420237	+	2810025M15Rik	321	310.38	350	336	367.649	399	339.824	305.652	421.684	283.813	288	379.822	503.382	436.765	326.813	321.798
11	120186650	120189857	-	2810410L24Rik	29	28	17	19	17	28	25	13	28	21	15	22	18	30	13	29
1	151748950	151755019	-	2810414N06Rik	39	30	29	35	23	21	16	27	24	35	25	20	27	32	48	32
5	113086323	113163314	-	2900026A02Rik	689.005	702.004	563.998	682.004	682.999	661.998	635.998	448	782.999	459.002	485.001	761	1079.01	702.002	614.002	867.001
11	120225529	120231618	-	2900052L18Rik	36	48	21	45	45	52	46	43	71	46	55	64	98	45	85	128
7	81523550	81531499	+	2900076A07Rik	13	35	28	41	28	29	33	31	24	30	21	39	28	49	19	36
2	156388063	156392980	-	2900097C17Rik	5937	5813	4413	4969	4356	4391	5173	4721	5285	4899	4868	5149	5660	5153	4919	5854
7	81782187	81789456	-	3110040N11Rik	109	89	110	105	109	100	102	93	121	104	90	119	160	124	132	114
12	70991615	71015824	-	3110056K07Rik	67	46	55	54	56	64	44	50	49	55	54	55	84	63	56	59
5	139359739	139460535	-	3110082I17Rik	50	68	47	48	92	88	78	45	133	62	55	97	158	87	92	84
14	32659119	32685273	-	3425401B19Rik	2223	2353	2163	2231	1688	1522	1707	1760	1548	1911	1677	1878	870	2297	1907	1601
14	12284203	12303232	+	3830406C13Rik	293	251	245	207	247	286	277	260	340	244	226	261	349	225	278	332
19	28923057	28967833	-	4430402I18Rik	156	122	141	142.613	93.2468	94.4933	135	126.698	116	134.077	118	88.1517	95.0293	149.206	115.127	151
2	93029348	93033446	+	4631405J19Rik	58	57	45	50	122	116	92	40	48	47	40	84	87	63	74	70
3	89767511	89773401	-	4632404H12Rik	77	48	66	68	85	70	67	56	53	58	50	67	88	60	78	100
3	19894871	19898985	+	4632415L05Rik	168	159	134	155	177	202	202	139	203	121	118	198	222	109	180	217
16	30008667	30021431	+	4632428C04Rik	166	168	108	108	77	58	118	124	49	112	131	77	38	186	116	95
17	12318853	12327251	+	4732491K20Rik	55	61	71	55	98	64	70	75	78	61	72	88	65	69	76	59
5	25499797	25504474	+	4831440E17Rik	34	35	43	30	31	28	44	41	47	24	17	16	60	28	38	47
13	119462759	119486121	+	4833420G17Rik	182	185	127	166	150	195	208	178	277	150	136	203	373	167	235	314
19	46303585	46305630	-	4833438C02Rik	14	23	22	21	23	28	41	28	72	22	37	48	56	31	39	42
13	54551218	54565383	-	4833439L19Rik	1538.89	1448.75	1344	1422.91	1436.99	1344.99	1502	1193.95	1463.65	1306.01	1189	1591.01	1493.99	1489.73	1475	1419.02
5	19202368	19226556	-	4921504A21Rik	51	40	43	61	42	35	34	42	47	38	39	35	18	57	35	36
8	85408759	85432842	-	4921524J17Rik	318.999	254.999	288	247	294	328.001	326	282	260	269	291.999	313	316.999	261	235	329
2	179976853	179979014	+	4921531C22Rik	45	84	66	39	63	42	60	42	71	38	60	42	65	84	50	59
2	130706200	130840146	-	4930402H24Rik	999.01	975.004	733.001	874.003	1320.99	1230.01	1105	897.003	1289.01	744.998	679.002	1256	1543.99	922.993	1190	1280
7	122969058	122970460	-	4930413G21Rik	137	95	74	86	99	83	99	66	94	74	48	87	125	93	91	116
9	79793641	79803236	+	4930429F24Rik	103	145	106	130	147	171	149	122	134	109	120	169	137	127	155	143
10	100572274	100589260	-	4930430F08Rik	83.6908	73.7979	76.8028	61.1902	64.7801	98.8525	75.4227	65.4537	61.4978	67.8899	67.5073	60.5014	134.148	50.261	77.2427	92.3025
14	8431172	8666291	-	4930452B06Rik	17	26	32	11	37	44	41	30	20	22	23	25	27	36	25	22
16	64766105	64770940	-	4930453N24Rik	233	224	241	215	368	389	313	273	284	245	271	288	404	255	269	285
14	69732784	69767114	+	4930480K23Rik	37	36	23	29	24	25	43	17	35	18	11	34	36	25	39	34
19	5406815	5422848	+	4930481A15Rik	224	189	171	226	136	143	191	141	105	145	88	111	144	190	109	171
3	146645189	146685486	-	4930503B20Rik	29	31	25	22	10	15	24	23	13	24	23	10	17.9182	17	14	17
18	70453140	70472481	-	4930503L19Rik	45	35	37	36	61	62	40	31	102	38	62	64	154	39	55	77
1	160044380	160078587	+	4930523C07Rik	355	397.898	268	382.331	397.668	377.88	304.775	315	386.915	305.786	325.952	379.574	325.862	350	265.59	397.973
9	124423251	124424857	+	4930526I15Rik	81	79	61	52	123	92	96	75	121	59	75	132	131	93	101	122
3	51276761	51278408	+	4930577N17Rik	34.3436	16.5275	28.0667	12.3185	24.6334	26.4472	33.9167	21.1328	42.7019	17.0433	25.4378	33.4621	41	29.5919	28.8899	20.489
3	79629079	79632820	+	4930579G24Rik	26	37	26	42	35	55	28	31	67	19	25	58	96	18	53	45
9	15283337	15306449	-	4931406C07Rik	109	120	83	108	157	198	152	104	253	102	142	216	280	103	194	317
7	34236714	34285610	-	4931406P16Rik	723	739	549	706	709	797	814	567	835	533	584	905	1126	646	697	762
14	54583663	54605909	-	4931414P19Rik	59	78	41	53	76	70	58	55	84	35	54	82	84	56	88	75
8	105280409	105289529	-	4931428F04Rik	65.5267	74.5703	33.0151	48.4403	72.7785	57.1769	69.293	39.4662	79.9209	33.494	36.4784	84.5366	81.7318	64.3418	72.7458	57.1119
3	36863106	37053034	+	4932438A13Rik	937	1024	708	779	802	799	799	683	757	714	607	827	874	681	811	926
X	75725458	75764700	-	4933407K13Rik	9	18	25	9	16	27	23	12	21	10	4	19	39	14	23	46
4	33027139	33031324	-	4933421O10Rik	60	62	58	39	71	61	46	66	93	41	38	85	139	41	65	94
11	72153929	72207483	-	4933427D14Rik	58	55	51	96	88	95.9999	71	55	99.0001	37	27	112	184	75	73	133
3	107888850	107896214	-	4933431E20Rik	57	74	54	38	61	63	91	57.0371	100	40.0117	32	104.08	134.04	34.0085	107	116
3	90051636	90063342	+	4933434E20Rik	643	652.003	635	588.003	608.998	654	596.002	586.997	634	605.999	649.999	564.001	789	727.998	533	694
11	59505653	59511386	+	4933439C10Rik	25.822	32.1754	23	37.9757	28.3047	64.6315	74.1851	25	58.8445	30.6911	28.5957	61.9262	91.532	31.1057	58.7561	64.843
5	23431808	23434354	-	5031425E22Rik	227	191	162	167	175	184	221	179	208	133	157	204	222	229	248	282
15	84943936	84987972	-	5031439G07Rik	815.994	882.001	655.996	690.001	845.001	887.006	926.995	639.996	1230.99	625.003	542.997	985.01	1657.98	808.995	939	1063.01
7	44484517	44485414	+	5430431A17Rik	94	76	79	107	102	111	144	99	206	107	68	143	234	118	185	218
X	105040854	105070125	-	5530601H04Rik	16	6	11	21	23	16	7	10	25	13	19	16	48	17	35	15
4	126609854	126614372	+	5730409E04Rik	282.999	296.999	256	247	352	295.001	258	247	360.999	234	234	342.999	409	301	344.999	421
11	80360492	80378016	-	5730455P16Rik	737	680	502	543	611	616	618	550	533	631	618	621	485	519	566	650
3	88777057	88829372	+	5830417I10Rik	725.822	667.461	471.281	649.794	1249.66	1279.88	1148.37	602.303	893.393	528.286	468.322	911.734	1074.82	676.857	878.063	954.881
4	154630691	154636368	-	5930403L14Rik	287	304	170	229	315	262	290	279	221	197	191	254	86	230	267	307
5	148990056	148995216	-	5930430L01Rik	32	49	34	35	36	20	27	44	46	33	36	28	47	39	35	73
15	12808177	12824658	-	6030458C11Rik	284	331	252	318	350	356.001	356.001	267	398	265.999	214	313	439.999	310	334	300.999
3	96606662	96629820	-	6330549D23Rik	15	23	29.1171	11.0813	28	21	26	16	33	13	29	31	36	22.1622	23	29
8	120114152	120165308	+	6430548M08Rik	298.999	246	215	202	458.002	506.999	357	172	626	185	198	414.001	873.008	192	394	554.002
13	99410836	99412827	-	6430562O15Rik	22.036	26	19	23	23.0256	42	27	28.1928	35.0523	17	22	47	43	46.196	21	22
9	107340640	107349684	+	6430571L13Rik	74	59	56	86	121	110	116	68	95	68	64	75	73	93	67	62
1	88263113	88269409	-	6430706D22Rik	238.659	248.006	231.679	322.879	508.687	568.18	544.578	242.606	907.459	218.166	178.226	654.767	1433.56	311.308	580.938	775.55
2	29245116	29252994	-	6530402F18Rik	81.6191	94.3766	51.6994	75.437	116	115.443	102	58	136.74	51.3395	41	149.736	147	77.1265	98.3506	126
13	62603015	62624183	-	6720489N17Rik	22	2	12	18	29	37	25	24	52	20	18	34	68	4	20	37
2	152415587	152444331	+	6820408C15Rik	60	37	22	40	43	41	73	31	74	42	17	85	84	58	107	145
8	20268286	20297433	-	6820431F20Rik	309.112	248.047	222.542	309.189	356.662	467.75	365.878	245.897	441.965	217.292	200.754	430.307	634.839	205.383	475.832	476.946
18	77631488	77714489	-	8030462N17Rik	618	609.999	431	643.997	628.997	666.002	598	552	602	497.999	457	655.003	722.005	469	592	571.001
17	14978864	14991578	+	9030025P20Rik	17.4257	13.0489	7.76056	12.3829	26.7466	8.79258	21.6419	9.73202	21.8727	10.3938	13.6415	27.0621	35.4355	24.6401	38.096	19.6146
10	43174699	43176566	+	9030612E09Rik	67	45	32	41	30	33	32	47	11	42	43	11	4	61	26	28
7	127382260	127387167	-	9130019O22Rik	35.2385	31	32.2935	34	34	56	46.3497	48.3191	54.5989	33.7847	41.35	41.1509	61	36.0088	34	51.5946
7	128234451	128238032	-	9130023H24Rik	61.5112	24.624	44.9635	49.0104	83.9159	84.2388	67.63	41.1321	116.713	66.8023	62.6872	82.973	77.7918	56.0307	83.3605	87.898
7	25228723	25230265	+	9130221H12Rik	123.311	94.3227	73.9162	118.227	88.5863	75.5589	131.455	104.283	137.353	106.186	78.3843	125.98	138.936	150.714	102.015	130.572
15	58022271	58034295	-	9130401M01Rik	148	185	170	161	172	116	171	138	229	179	175	182	294	196	239	169
9	60523967	60545883	-	9230112J17Rik	61	94	99.0001	57	83.0001	79.0001	56	83.0001	59	101	85	85.0001	53	112	90	73
5	52190681	52197985	+	9230114K14Rik	30	14	24	19	24	40	23	25	33	28	20	40	46	26	20	50
15	98567324	98570865	+	9330020H09Rik	20	11	15	22	13	8	22	14	26	6	16	17	22	28	9	17
6	128169700	128183804	-	9330102E08Rik	28	44	43	44	51	64	46	37	60	51	47	57	83	68	52	46
8	122443656	122446477	+	9330133O14Rik	65	37	44	46.7625	61	61	34	36	74	65	54	52	97	67	74	60
12	69197211	69199869	+	9330151L19Rik	62.7575	86.2334	45.4327	73.0743	53.5143	60.7757	62.1529	58.6504	89.8358	57.4436	61.4687	68.406	89.7852	82.7835	74.8325	77.5444
6	36333138	36388235	-	9330158H04Rik	32	41	62	29	42	54	55	32	65	39	35	63	121	71	39	69
10	29211643	29230780	+	9330159F19Rik	30	20	32	22	12	15	13	6	16	16	13	23	11	13	19	21
9	88841798	88858871	-	9330159M07Rik	51	39	42	49	47	38	46	47	46	52	42	54	86.3878	52	60	77.0001
4	156109998	156127264	+	9430015G10Rik	23	42	21	36	43	52	40	38	84	26	32	58	150	25	63	70
9	88595325	88599244	-	9430037G07Rik	53	33	23	27	42	43	56	29	49	30	36	35	25.6121	34	45	34
7	137375569	137410757	-	9430038I01Rik	79	66	77	53	72	87	61	76	82	79	65	99	117	80	70	60
8	111127444	111145499	-	9430091E24Rik	10	13	10	18	18	12	17	13	20	18	11	13	26	20	11	17
11	52396428	52408724	+	9530068E07Rik	1588	1640	1656	1631	2022	2170	2070	1339	2555	1425	1284	2322	3396	1795	2236	2514
17	23749236	23754066	+	9530082P21Rik	52.2141	79.8659	58.0613	77.1447	67.5047	75.6258	71.6382	88.2579	94.9078	103.668	87.1833	97.7428	109.351	112.938	128.138	115.803
17	27235075	27248067	-	9630028I04Rik	65	89	62	68	86	80	87	56	64	56	36	56	68	78	88	112
15	60822965	60831401	+	9930014A18Rik	25.883	18.1649	10.5932	21.1346	23.2971	38.9137	35.4623	26.4592	40.2162	21.0562	33.4902	25.0426	35.8092	26.6584	48.3794	42.4507
19	29714402	29806010	-	9930021J03Rik	352	347	219	302	341	309	321	227	348	219	224	324	432	212	377	371
4	124937048	124944662	+	9930104L06Rik	118	109	82	104	178	154	142	92.0001	156	103	99	131	203	114	139	164
11	48946150	48979382	-	9930111J21Rik1	113.407	84.2473	44.9433	69.5409	67.7162	73.7394	59.5515	68.068	56.2825	70.1792	66.1432	57.3484	66.9254	75.1693	90.9769	67.804
7	45635572	45638759	-	A030001D20Rik	68.4452	61.2782	61.6204	49.5725	45.1301	77.5893	59.0105	49.5342	71.7898	39.6828	35.5768	56.8429	96.5119	60.0987	59.4737	65.3352
1	193173469	193177833	+	A130010J15Rik	97	118.937	114	106	141	101.904	142	90.9999	137	120.861	109	123.821	199.618	116.84	166	152
X	20961676	20987350	+	A230072C01Rik	32	23	25	40	38	50	49	37	50	32	40	27	61	28	49	36
15	101221191	101225187	-	A330009N23Rik	24	24	20	20	30	24	33	36	39	11	32	27	28	52	18	30
1	195017399	195037909	+	A330023F24Rik	173	172	208	236	115	157	191	150	189	151	97	142	231	180	176	277
18	77729493	77733471	-	A330094K24Rik	26	15	27	18	39	28	31	22	21	24	38	38	15	40	26	32
4	153957237	153961925	+	A430005L14Rik	164	145	154	189	168	143	161	112	213	149	235	159	234	210	165	172
5	138622859	138648906	+	A430033K04Rik	69	50	49	49	69	66	82	59	109	45	62	62	102	56	93	80
10	128499247	128504243	+	A430046D13Rik	234	228	190	217	190	195	251	184	189	268	198	196	163	276	255	258
15	83226722	83251730	-	A4galt	89	66	93	65	121	144	120	73	173	52	56	156	234	69	119	126
12	112489448	112499928	+	A530016L24Rik	569	629	412	609	318	347	435	502	162	562	408	276	66	616	380	451
